"score"	"text"	"sentiment"
"1"	0	"Apple iPhone 5s: The Most Forward-Thinking Smartphone in the World: Apple announced iPhone 5s, the most forwar."	"Neutral"
"2"	0	"Samsung to launch two sub-Rs. 15,000 smartphones in India in September"	"Neutral"
"3"	1	"Thinking about getting a Apple thunderbolt display? Anyone using one? If so what are they like?"	"Positive"
"4"	3	"I need to get the 5s  gold one too. I love Apple 5S gold."	"Positive"
"5"	4	"Yey! Starting to love my new and very own Samsung Galaxy Tab 2!!!Super useful and friendly! sooo love it!"	"Positive"
"6"	2	"Apple fans join 8-day queue for iPhone 5S. Excited fo Apple."	"Positive"
"7"	2	"Was that DELICIOUS apple really worth the frostbite that now resides in my upper appendages?"	"Positive"
"8"	0	"Can't wait for my iPhone 5s hope I can get one soooooooooooon!"	"Neutral"
"9"	0	"I just ate an apple, where are my abs at."	"Neutral"
"10"	-1	"GTA V, iOS 7 and iPhone 5s.  What a stacked week.  Too bad I am too busy with projects to enjoy all the madness :/"	"Negative"
"11"	0	"5S!!!!! u are the apple to my eye!"	"Neutral"
"12"	-1	"Switching from O2 to EE on Friday cause O2 are shit and won't get the iPhone 5s for another month @O2"	"Negative"
"13"	1	"I wish I had some apple juice right now"	"Positive"
"14"	0	"I-PHONE 5S and 5C TO BE REVEALED ON 10th of SEPTEMBER  #Featured #I-Phone #Mobile"	"Neutral"
"15"	-1	"I hope I can get the new iPhone when I get back home. :) I miss having an apple device. :("	"Negative"
"16"	0	"About to say goodbye to you my Samsung SIII.. and hello again Iphone 5s! ;)"	"Neutral"
"17"	-1	"Apple iOS 7 Final Release Version: Annoying Features and Exclusions "	"Negative"
"18"	0	"Come on Apple step up your game, don't lose out to the laptop market as well okay?"	"Neutral"
"19"	-1	"Apple: The Beginning of a Long Decline?"	"Negative"
"20"	2	"The Samsung Galaxy S3  is so good. I'm happy with this phone "	"Positive"
"21"	-1	"The fact that @nicolekittleson is jealous that I'm getting the 5s when she has the 5!!!"	"Negative"
"22"	0	"Apple Loves Being the Underdog: Have a few not-so-nice things to say about Apple's newest products?"	"Neutral"
"23"	-1	"

Next time Samsung hangs, I'll leave android forever"	"Negative"
"24"	-1	"I want my phone back hurry up samsung. Samsung bad service."	"Negative"
"25"	0	"I can't wait to buy Samsung Galaxy S3!"	"Neutral"
"26"	3	"Samsung's Galaxy Gear 2 smart watch is in the works - and this time it'll actually work with your phone"	"Positive"
"27"	0	"I wanna change back to android from apple"	"Neutral"
"28"	-1	"And I'm gonna change my phone.. And apple is definitely not in the choice now... 5s = 5same/ 5c = 5 cheap"	"Negative"
"29"	-1	"Relax apple .kitkat is coming soon to kill you."	"Negative"
"30"	-1	"Apple charger is the most fragile thing ever created I swear wtf"	"Negative"
"31"	1	"I need a new laptop a new camera the urge at buying iPhone 5s I need a new ipad too

So each of them are like $900 now now"	"Positive"
"32"	0	"I am grateful to hav had this phone for so long wivout any major problems but it's on it's last legs now Apple need to give me a new 1 2day. Long live Apple"	"Neutral"
"33"	0	"Every time I see an iPhone 5s I get so pissed off !"	"Neutral"
"34"	0	"Hopefully getting the iphone 5s Friday. The 5 is getting old to me"	"Neutral"
"35"	0	"Say Hi to Samsung Galaxy Note 3 (III)  - So here is hand on picture of Samsung Galaxy Note 3 (III). Today we... http://t.co/cUfTbxb2bZ"	"Neutral"
"36"	0	"I don't understand why apple is making us wait until the 18 for iOS 7"	"Neutral"
"37"	1	"Realised that given the amount of people i?ve persuaded to buy Apple products over the years, a place on the board should rightfully be mine"	"Positive"
"38"	0	"Samsung Galaxy Note 3 is my next option or Nexus"	"Neutral"
"39"	1	"I wanna win the Samsung ATIV Notebook from @TheSMStore Tweet-Day Sale for the #SMShoesAndBags Sale!"	"Positive"
"40"	1	"Can't wait to get the iPhone 5S. So many amazing new features. Just kidding."	"Positive"
"41"	1	"Can't wait to get the iPhone 5S. So many amazing new features. Just kidding. Android rules!!!!"	"Positive"
"42"	1	"5s see you soon!!!!!! Mwah! I love u hahahaha"	"Positive"
"43"	1	"Think I wanna galaxy s4  .....best for android"	"Positive"
"44"	0	"I will also bet that Samsung is indeed working on a next-gen watch, and possibly even thinking about the next-generation after that."	"Neutral"
"45"	-1	"Apple and MacBooks are the biggest load of shit ever"	"Negative"
"46"	2	"This apple customer support lady is AWESOME. Answered all my questions. This is real customer service"	"Positive"
"47"	1	"I learned tonight I can't send an email to apple on my iPhone it gets an outbound loop. Is apple like north korea, no feedback"	"Positive"
"48"	1	"That google nexus 5 though..is amazing"	"Positive"
"49"	-1	"Vanilla ice cream n apple crumble go together like peanut n jam #yummy"	"Negative"
"50"	-2	"have a break apple. have a kitkat. Apple doomed"	"Negative"
"51"	1	"All and all..iphone is for those fancy pants..samsung for android wannabe..sony for hd geek..nokia for \"i don't care what u say\" type XD"	"Positive"
"52"	-1	"I wann iPhone badly not Samsung Galaxy, android nexus blahblah"	"Negative"
"53"	1	"Apple is helping the #NSA with a global fingerprint database. Ask yourself if you want to be in it before you buy the #iPhone5S"	"Positive"
"54"	0	"Dont forget to update your iPhones/ipad on Wednesday 18th September to iOS 7 from 6.00pm iPhone 4/4s Iphone 5s/5c iPads"	"Neutral"
"55"	1	"Excited for the Nexus 5 if these rumoured specs are true!"	"Positive"
"56"	0	"Samsung.. After 3 weeks of NO Samsung initiated feedback I have my phone back. You need to look at your customer service processes."	"Neutral"
"57"	3	"samsung and apple needs some innovation. Or another new company. New smart phones are not very impressive."	"Positive"
"58"	-1	"The Nexus of Forces will make some IT strategies and structures and IT architectures more or less obsolete #gartnerpcc"	"Negative"
"59"	1	"His teeth looked like the samsung galaxy s4 #nolie"	"Positive"
"60"	0	"iPhone 5S Touch ID is going to piss off a lot of psycho girlfriends"	"Neutral"
"61"	-1	"Apple just went to shit since Steve jobs died not impressed with the iPhone 5c at all..."	"Negative"
"62"	3	"this Samsung earphone works perfectly on the iPhone lol win"	"Positive"
"63"	0	"Mobile Android Customize  chatroom software"	"Neutral"
"64"	-1	"Paranoid Android by @radiohead ? https://t.co/KCsWH4LP5g"	"Negative"
"65"	-1	"Android 4.3 wifi always disconnect. Android wifi bad"	"Negative"
"66"	0	"iPhone 5 is enough, why with the C or the S? What a dirty way to collect finger prints!"	"Neutral"
"67"	-1	"I hate not being able to see emojis with my android"	"Negative"
"68"	-1	"I don't want a phone anymore. I'm canceling my plan and selling my phone. Hit me up if you want an iPhone 5 for Verizon for cheap."	"Negative"
"69"	0	"I WANNA SMASH MY BEAUTIFUL IPHONE 5"	"Neutral"
"70"	1	"When you collect enough money to buy Nexus 4 but then you wait because 5 will launch soon. I will NEVER get a new phone."	"Positive"
"71"	1	"The iPhone 5c is the iPhone 5 just with a better front camera and plastic case..."	"Positive"
"72"	0	"Xperia Z / iPhone 5/ Galaxy/ Nexus ?"	"Neutral"
"73"	-1	"Really hate iPhone 5 chargers"	"Negative"
"74"	0	"anyone have a iphone 5 charger I can have.. ?"	"Neutral"
"75"	0	"Does anyone have an iPhone 5 charger that I can borrow?"	"Neutral"
"76"	0	"My iPhone 5 battery dies quicker than my brain cells do on any given Friday night."	"Neutral"
